N,algoritmo,comparacoes,trocas,tempo_µs
10000,HeapSort,113705,54591,9887
10000,HeapSort,113470,54441,10215
10000,HeapSort,115070,55303,22005
10000,HeapSort,114052,54755,9987
10000,HeapSort,112822,54119,9477
10000,QuickSort,48685,13046,2499
10000,QuickSort,48006,11073,2298
10000,QuickSort,46728,12940,3441
10000,QuickSort,46555,11533,2334
10000,QuickSort,45520,10976,2303
10000,TimSort,191665,181323,82811
10000,TimSort,188935,178572,80944
10000,TimSort,191111,180747,93304
10000,TimSort,185221,174826,80277
10000,TimSort,188769,178416,81204
50000,HeapSort,652686,314680,60156
50000,HeapSort,649283,312793,62127
50000,HeapSort,654417,315520,64602
50000,HeapSort,652192,314285,59308
50000,HeapSort,648070,312209,59909
50000,QuickSort,231064,66784,14762
50000,QuickSort,299321,118484,22004
50000,QuickSort,243641,71060,15065
50000,QuickSort,241406,68892,14128
50000,QuickSort,244925,83626,16910
50000,TimSort,984605,932405,2108144
50000,TimSort,965895,913760,2118412
50000,TimSort,972824,920560,2108931
50000,TimSort,977659,925567,2152723
50000,TimSort,975367,923245,2073383
100000,HeapSort,1372971,662498,128757
100000,HeapSort,1377134,664864,138108
100000,HeapSort,1380157,666439,144112
100000,HeapSort,1378189,665397,140222
100000,HeapSort,1374814,663516,171882
100000,QuickSort,467550,113962,28628
100000,QuickSort,531502,181379,39715
100000,QuickSort,496150,142248,34641
100000,QuickSort,501731,192833,41490
100000,QuickSort,543966,244600,47683
100000,TimSort,2044498,1939823,8742744
100000,TimSort,2055435,1950631,9321787
100000,TimSort,2021614,1916951,9179354
100000,TimSort,2088992,1984162,9141909
100000,TimSort,2056261,1951374,8991017
500000,HeapSort,7777833,3770822,745695
500000,HeapSort,7768315,3765868,874590
500000,HeapSort,7770416,3767033,807058
500000,HeapSort,7767759,3765638,819074
500000,HeapSort,7771459,3767555,895005
500000,QuickSort,2333014,610798,158452
500000,QuickSort,2517340,908833,258312
500000,QuickSort,2488716,782151,191540
500000,QuickSort,2310476,594531,186232
500000,QuickSort,2439739,769162,283538
500000,TimSort,,,
500000,TimSort,,,
500000,TimSort,,,
500000,TimSort,,,
500000,TimSort,,,
1000000,HeapSort,16281257,7902764,1606466
1000000,HeapSort,16292861,7908666,1689045
1000000,HeapSort,16296622,7910972,1642595
1000000,HeapSort,16276095,7899247,1609124
1000000,HeapSort,16302124,7912851,2120969
1000000,QuickSort,5281845,2299386,521404
1000000,QuickSort,4924197,1007262,376453
1000000,QuickSort,4974359,1543044,426672
1000000,QuickSort,4671281,1095787,301169
1000000,QuickSort,4767197,1746430,475406
1000000,TimSort,,,
1000000,TimSort,,,
1000000,TimSort,,,
1000000,TimSort,,,
1000000,TimSort,,,
